"timestep","pft","num_agents"
644,"diatom",13.95
645,"diatom",13.9
646,"diatom",14.1
647,"diatom",14.15
648,"diatom",14.05
649,"diatom",13.9
650,"diatom",14.15
651,"diatom",14.3
652,"diatom",14.8
653,"diatom",15.2
654,"diatom",15.05
655,"diatom",15.25
656,"diatom",15.45
657,"diatom",15.5
658,"diatom",15.2
659,"diatom",15.3
660,"diatom",15.25
661,"diatom",15.25
662,"diatom",15.3
663,"diatom",15.25
664,"diatom",15.4
665,"diatom",15.25
666,"diatom",15.45
667,"diatom",15.65
668,"diatom",15.9
669,"diatom",15.95
670,"diatom",15.95
671,"diatom",15.7
672,"diatom",16
673,"diatom",15.9
674,"diatom",16.15
675,"diatom",16.4
676,"diatom",16.35
677,"diatom",16.6
678,"diatom",16.9
679,"diatom",17
680,"diatom",17
681,"diatom",16.9
682,"diatom",16.75
683,"diatom",16.6
684,"diatom",16.8
685,"diatom",16.9
686,"diatom",16.9
687,"diatom",17.1
688,"diatom",17.25
689,"diatom",17.05
690,"diatom",16.95
691,"diatom",17
692,"diatom",17.2
693,"diatom",17.2
694,"diatom",17.5
695,"diatom",17.7
696,"diatom",17.85
697,"diatom",17.8
698,"diatom",18
699,"diatom",18.35
700,"diatom",18.15
701,"diatom",18.2
702,"diatom",17.95
703,"diatom",18.05
704,"diatom",17.75
705,"diatom",17.85
706,"diatom",17.4
707,"diatom",17.6
708,"diatom",17.5
709,"diatom",17.5
710,"diatom",17.55
711,"diatom",17.75
712,"diatom",17.8
713,"diatom",17.5
714,"diatom",17.65
715,"diatom",17.7
716,"diatom",17.95
717,"diatom",18
718,"diatom",17.95
719,"diatom",17.7
720,"diatom",18.15
721,"diatom",18.2
722,"diatom",18.55
723,"diatom",18.7
724,"diatom",18.95
725,"diatom",19.05
726,"diatom",19.1
727,"diatom",18.75
728,"diatom",18.75
729,"diatom",18.85
730,"diatom",18.9
731,"diatom",18.9
732,"diatom",18.8
733,"diatom",18.7
734,"diatom",18.9
735,"diatom",19.1
736,"diatom",19.15
737,"diatom",19.35
738,"diatom",19.5
739,"diatom",19.1
740,"diatom",19.35
741,"diatom",19.35
742,"diatom",19.5
743,"diatom",19.45
744,"diatom",19.4
745,"diatom",19.5
746,"diatom",19.65
747,"diatom",19.55
748,"diatom",19.35
749,"diatom",19.55
750,"diatom",19.5
751,"diatom",19.9
752,"diatom",19.95
753,"diatom",19.95
754,"diatom",20.05
755,"diatom",19.75
756,"diatom",20.05
757,"diatom",19.8
758,"diatom",19.95
759,"diatom",20
760,"diatom",20.1
761,"diatom",20.35
762,"diatom",20.1
763,"diatom",20.3
764,"diatom",20.25
765,"diatom",20.1
766,"diatom",20.25
767,"diatom",19.8
768,"diatom",19.8
769,"diatom",19.85
770,"diatom",20.2
771,"diatom",20.45
772,"diatom",20.45
773,"diatom",20.3
774,"diatom",20.15
775,"diatom",20.25
776,"diatom",20.7
777,"diatom",20.65
778,"diatom",21.2
779,"diatom",20.95
780,"diatom",20.65
781,"diatom",20.85
782,"diatom",20.45
783,"diatom",20.65
784,"diatom",20.8
785,"diatom",20.35
786,"diatom",20.45
787,"diatom",20.45
788,"diatom",20.6
789,"diatom",20.7
790,"diatom",20.25
791,"diatom",20.1
792,"diatom",20.2
793,"diatom",19.9
794,"diatom",19.95
795,"diatom",19.65
796,"diatom",19.45
797,"diatom",19.15
798,"diatom",19.25
799,"diatom",19
800,"diatom",19
801,"diatom",18.9
